2025-04-27 19:39:42,582 - Script started
2025-04-27 19:39:42,591 - Processing model: mistral
2025-04-27 19:39:44,633 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:27,901 - Multiprocessing for mistral-prompt1-4, duration: 0:00:02.570389
mistral-prompt1-5:   0%|          | 0/1 [00:00<?, ?it/s]2025-04-27 19:40:27,984 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:30,411 - Single inference for Anesthesiologist Assistants, duration: 0:00:02.486646
mistral-prompt1-5: 100%|██████████| 1/1 [00:02<00:00,  2.50s/it]mistral-prompt1-5: 100%|██████████| 1/1 [00:02<00:00,  2.50s/it]
2025-04-27 19:40:30,419 - Multiprocessing for mistral-prompt1-5, duration: 0:00:02.516211
mistral-prompt1-6:   0%|          | 0/1 [00:00<?, ?it/s]2025-04-27 19:40:30,500 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:32,446 - Single inference for Anesthesiologist Assistants, duration: 0:00:02.003803
mistral-prompt1-6: 100%|██████████| 1/1 [00:02<00:00,  2.02s/it]mistral-prompt1-6: 100%|██████████| 1/1 [00:02<00:00,  2.02s/it]
2025-04-27 19:40:32,455 - Multiprocessing for mistral-prompt1-6, duration: 0:00:02.033927
mistral-prompt1-7:   0%|          | 0/1 [00:00<?, ?it/s]2025-04-27 19:40:32,538 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:34,503 - Single inference for Anesthesiologist Assistants, duration: 0:00:02.025279
mistral-prompt1-7: 100%|██████████| 1/1 [00:02<00:00,  2.04s/it]mistral-prompt1-7: 100%|██████████| 1/1 [00:02<00:00,  2.04s/it]
2025-04-27 19:40:34,512 - Multiprocessing for mistral-prompt1-7, duration: 0:00:02.055524
mistral-prompt1-8:   0%|          | 0/1 [00:00<?, ?it/s]2025-04-27 19:40:34,593 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:37,467 - Single inference for Anesthesiologist Assistants, duration: 0:00:02.931740
mistral-prompt1-8: 100%|██████████| 1/1 [00:02<00:00,  2.95s/it]mistral-prompt1-8: 100%|██████████| 1/1 [00:02<00:00,  2.95s/it]
2025-04-27 19:40:37,475 - Multiprocessing for mistral-prompt1-8, duration: 0:00:02.961418
mistral-prompt1-9:   0%|          | 0/1 [00:00<?, ?it/s]2025-04-27 19:40:37,556 - HTTP Request: POST http://127.0.0.1:11954/api/chat "HTTP/1.1 200 OK"
2025-04-27 19:40:39,564 - Single inference for Anesthesiologist Assistants, duration: 0:00:02.066348
mistral-prompt1-9: 100%|██████████| 1/1 [00:02<00:00,  2.08s/it]mistral-prompt1-9: 100%|██████████| 1/1 [00:02<00:00,  2.08s/it]
2025-04-27 19:40:39,572 - Multiprocessing for mistral-prompt1-9, duration: 0:00:02.096109
2025-04-27 19:40:39,579 - Wrote results JSON for mistral-prompt1, duration: 0:00:00.004640
2025-04-27 19:40:39,579 - Script completed
